person_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9
bicf2,-3.2845006,7.0665026,0.77498806,6.479387,6.3281035,0.4764302,2.5395248,-1.6297418,3.3422892,-1.8158374
bm5ba,7.643617,2.7685347,0.5866538,1.2260978,1.6555008,-2.5073473,1.8357099,-2.1081128,-0.19013359,-0.1530119
bnxw1,-2.3371692,3.1171665,-2.3686895,1.6722157,-5.632427,-3.5732696,-4.6764855,1.4793643,-3.557163,3.4579773
byr2v,5.6650724,-1.7551026,2.7173076,6.1015363,-0.78268504,-0.15232505,0.6363684,2.0153472,-0.68906575,4.7086406
c0p1j,1.1777115,7.4384336,-4.920978,-5.050856,3.2333765,3.1153853,-0.4191152,1.3119267,0.6108423,-3.5714495
c42r9,2.8539288,-0.19108784,-6.1912355,-1.6885256,-2.3401477,0.14656295,-1.9254103,0.3233791,0.39195,-2.187137
c9e9n,4.4483166,4.2434154,6.9571075,5.9232516,-0.080745436,-0.3863773,1.8114605,0.17007557,0.3975612,2.5029106
cmjtd,4.9905453,-5.185909,-6.9741745,0.96763015,4.381699,2.1493452,-1.4206765,3.4216647,-0.6642369,-2.6145344
cmmpb,-5.374788,-1.1478528,2.140939,2.8334572,-1.442754,3.5576456,0.19276482,-0.3391456,-3.496518,-3.2499115
cnx9d,7.436125,-1.9227619,-0.6355682,-1.3481251,-1.8220443,-1.3857561,0.71041733,1.4966298,-0.4443488,1.9888381
d3vke,5.1542587,-3.2267802,6.4224267,-2.2106109,-6.6876554,-8.090036,-2.3398347,-1.5327548,-1.1431104,2.2059364
d5yrm,7.0394535,7.4836,-2.2257686,-3.675599,-0.28629768,4.326417,-3.7034097,3.501818,2.3173883,3.7981963
d8l9i,0.73905057,-3.4273427,0.3747483,9.463143,0.16686298,4.1780906,-2.886943,-5.7793436,-1.2295438,-2.4973392
dg0ss,-8.789785,-4.299754,-0.8640356,-2.6070762,4.6879616,2.3322675,4.5110016,-1.5501907,-1.0518295,-1.3020785
dtsui,4.4239697,0.71097994,4.3773937,2.5933175,-3.751847,1.991895,2.103553,0.15414742,-2.2263048,0.006242687
dw6oq,3.861447,-0.9856931,-2.7628727,-1.6568059,2.246168,-1.329846,2.160737,1.0168335,0.42349288,1.3840638
dy25d,-4.2076964,1.2942066,1.7406499,0.43488666,0.72642124,0.8846919,2.846316,-0.030942947,1.5809523,-1.3280171
e8ihk,0.42208222,2.6532125,-7.0612283,-2.9937966,0.38756585,4.594583,3.129206,-5.83495,1.0349503,2.076917
eels5,3.8651042,-0.7263853,0.8258426,0.28204742,-5.624684,2.5233278,2.5651827,-4.544169,-4.106867,-2.8836055
egrrg,-16.863237,-1.54379,-2.7775166,6.8162017,-2.706135,1.4420507,-1.6972456,-2.843877,2.1555288,4.8498573
ek9iq,-1.6273031,0.87414813,-3.3907423,-1.7437522,0.5557375,-0.0028121572,0.078763366,-4.5795183,0.9841072,2.391238
evqeq,2.077308,-1.9753876,-5.1027236,0.20781168,-0.73342574,-1.7682865,-2.5238674,2.1338308,1.4213979,1.600606
ez9fl,-1.3090882,2.5401502,-4.128908,1.9110667,-0.43064556,-3.1647024,2.729632,-0.86617154,-5.938161,0.26426277
f5cp3,6.386865,0.82543576,-5.027017,2.3650606,-0.5436722,-1.8625623,-1.0886326,0.2622674,2.805432,1.9981923
f60ro,4.0332556,10.627041,6.2652264,5.365751,1.1763477,3.4674122,-2.4453974,2.7388916,0.7602823,3.8668373
f76v0,-5.1949773,-6.1519933,2.310118,3.9820356,-4.0070148,-2.3414247,-3.4588728,-1.0851687,2.5357559,2.8431387
fz8wa,-2.7843812,4.0626316,-5.346149,-5.6564927,1.2357907,-5.916025,1.115716,-0.049485635,2.7624044,1.1196634
g00ic,1.349446,3.8547215,-0.69544977,-0.557519,-2.591293,3.1207097,3.01327,-1.4750482,2.5287437,-1.2320474
g0rj9,-2.952477,4.9059505,3.4971032,2.192385,0.81782603,-2.3963761,4.023578,-0.53382117,-0.5221954,-5.45538
g24p8,-0.89043003,-5.859549,8.34552,-2.7754376,1.7714398,-2.3498898,-0.45742908,0.97295314,0.42060345,-3.0731857
g89mx,-8.309623,-1.7086877,-3.1187787,7.7460093,-1.5418179,-3.0187485,1.8386145,2.108611,1.0224273,1.1228489
gozwq,-2.6443448,4.777828,3.8222828,-1.6845256,-2.3595734,-3.651429,-5.1897326,-2.0443163,-3.7627232,-0.88380885
ha6bv,4.0362,-2.9204307,-4.5140214,4.0886316,-2.648823,1.6992656,2.1698604,0.5991624,0.9230025,1.4370029
hetd5,6.715339,-7.440363,-6.2605376,1.8754048,-2.9108047,1.4189769,-1.2754807,4.5501432,0.08089167,-3.1360514
hfvpz,4.6569743,-3.8575757,4.9762707,-3.7874165,-3.0027802,-2.3933074,1.3248976,2.2559824,-6.473096,-3.1340797
hpbis,-0.8582092,-4.076186,5.844895,-4.4781775,2.537977,-0.79864484,1.3647188,3.1910493,4.116629,1.628799
hwot5,-12.348221,2.2497659,3.0154943,-1.1839366,-1.4292626,-1.3872232,1.6023346,-1.4661549,-0.41692412,2.04892
i2m95,-6.4087663,10.312086,-5.174695,-5.9293966,-7.240586,-0.01174886,-7.33578,3.4193747,-5.101926,1.1503112
i89x5,-7.9837184,-1.8487955,3.3519058,-1.0956736,2.8348787,-0.5096853,-5.3848934,1.4951642,-0.6274723,-3.2347436
ibsjm,4.03339,-2.8618503,1.7485695,-0.5562414,3.1978657,1.2711575,-1.1606395,-1.1276276,2.1762524,1.0084243
ighhg,-13.155822,-0.20838964,-4.7394543,-6.436391,1.7673104,-1.6845489,3.2693355,-3.0216439,-3.9435792,2.9896555
ilhrp,-6.786862,-1.6825668,-0.8353858,3.8007174,1.3375403,1.9505913,1.4551051,-0.22860485,1.6426368,-2.6959913
ir48j,2.8281035,-3.952231,1.44982,3.4512897,5.039971,-2.1575363,-6.309858,-0.4257528,2.6424472,1.0701295
iueq4,4.8938932,0.86757827,1.5482271,2.8656478,-2.1037908,1.4540403,0.35585475,-0.02560075,-0.10137304,3.2809622
iyz57,0.32314685,-3.0762525,11.699763,-5.4922066,-2.380007,-4.1663313,0.10740085,2.0051851,-1.247317,-1.0117903
j0fnu,4.4323187,-2.1270485,1.0124937,2.2645044,0.48392197,-1.5716566,1.0728756,4.2354817,2.8370523,0.5676071
j8yub,-2.031903,-5.5251713,8.187633,2.071448,1.2781684,1.551966,2.1880589,-2.3146398,-0.6891138,1.2364256
j9t67,-2.4574325,2.6421192,-0.9391968,1.7115589,-1.5377748,-1.4222982,-1.1834131,-4.1802564,2.4153087,-4.442559
j9v1n,-5.108347,3.2336266,-3.3766255,-5.4712925,-1.3629338,2.029318,-0.21371804,-2.5148604,1.3110694,-0.37496638
jex85,-6.3708625,2.124514,-1.8370601,0.65917367,-3.4500656,3.4064426,-5.255423,-0.14532445,1.6090184,1.5845997
jqodr,1.4169759,-3.9037402,0.7754416,0.1621452,2.7591133,-0.93836075,-2.9690936,1.2975334,-0.17599118,-2.9636428
k7iif,-3.790519,0.95513266,3.7484503,-4.083957,0.64940524,0.8806469,1.5863825,-0.32897657,0.5176203,-4.306748
k8gd7,-8.429088,-2.4840312,-2.5876787,4.9615254,-9.085345,-1.4423773,-1.1235318,4.3171825,0.56364757,3.3915596
kficb,4.04614,5.5872607,4.6224833,8.123446,-6.4128227,3.5544217,-0.5326255,4.661664,1.4359719,-0.8950633
kms82,-4.5927453,5.9915586,-5.946453,-5.0004992,-1.6595379,0.75033015,5.423477,0.7609493,0.5350935,-2.1228337
kvy1a,-1.5903957,5.7675085,-3.473439,0.22092205,-0.45415884,0.42910284,1.3367703,-2.1025076,-1.2073727,-1.8238338
kww3y,-7.260304,4.34746,0.5849804,1.6379815,3.9592357,-3.9666026,4.425729,0.40524286,-3.293645,0.85979134
kzigb,-0.31336376,0.15237631,-0.37055004,-1.6964486,0.80792034,1.2109296,0.40540594,-0.13932592,0.2825961,-1.2347192
l3bok,-1.5679135,-7.313787,4.322792,1.568285,-4.4082065,-1.1064214,0.4107762,1.3441292,5.227681,4.107172
l7xza,0.2944156,-1.3926378,6.549372,2.3216105,9.232834,1.2714686,-2.6100736,-0.22825968,-2.6571498,-2.821029
l8eqt,11.961496,-0.55136675,-3.000345,1.5438613,-2.1710718,-0.63488096,0.7821549,1.393093,3.2126875,-3.159658
lclop,5.7032495,1.4096894,2.4894998,-4.1655073,2.206393,-1.7936091,-1.116334,-1.7104559,-1.7323495,-0.51881576
lfhm6,6.397889,3.069677,2.2624424,-3.1086624,-2.1878269,1.413806,-4.28265,0.96328175,-1.0611342,4.0718923
ln91z,5.362747,-1.6678039,-4.8645244,-2.8881228,3.0620759,-2.9848676,-1.0165513,1.759254,-0.8970832,1.9716518
lspv3,3.3157794,4.9311233,4.2188,-0.6227319,0.27732253,0.16008577,1.5852388,0.8791484,0.6236874,-1.0338669
ltop8,-0.43862963,5.3337026,0.8195134,-1.7298094,0.60285133,4.5097065,-5.79083,0.44548336,-0.12507646,3.5124762
lwvjc,5.1346555,-0.94391197,4.7898307,-5.1020217,1.1074861,0.7251761,1.9653832,-0.35193145,-0.9863832,0.29160357
lx6ix,8.863286,-0.6278815,1.2625134,0.59967846,2.5369406,0.5421476,1.1346434,-1.7251416,-2.8606477,1.3363343
meqhr,0.12251416,7.9182134,0.055023313,-1.9104269,-0.7324973,-3.5534198,-0.7715854,-0.23585673,-0.9423597,-2.2501957
mfgtj,7.281398,-1.7575461,-0.023131981,-2.3406022,0.12819986,0.20684096,-0.19022831,1.9445558,3.4227893,-1.3268579
mi5r8,0.34366643,-3.597922,-1.5420957,-1.5525893,-0.8450098,16.57765,-2.0128646,2.8652904,-4.5346494,1.7299294
mtom9,-3.6497502,-2.762113,-5.660175,-0.50120574,2.0499268,-1.8097273,-3.3686676,-8.387894,-0.38524485,4.223776
mxuqf,1.4959544,-2.072132,5.1098733,-4.205792,0.1982129,-0.5668962,-2.6344578,-0.1570757,2.6912029,-1.4015397
n0s0f,11.839783,2.8425817,3.130743,0.9632092,-1.8007739,-1.1694955,1.1231916,0.31672484,-4.056213,3.193771
n2pn8,-7.606489,-3.6728096,-7.451629,-1.3665895,3.9186947,5.650564,-0.78619665,0.20316947,1.0014818,-0.04536189
n6xqr,-5.10636,1.908723,-1.6711861,-0.20906919,1.5969156,1.5276164,1.4907286,0.6364851,0.4143026,-0.41964474
ncyc2,2.4607272,-0.27338853,2.624637,-0.105452806,-4.6319113,-2.604693,-0.3179769,-1.3509979,2.0392444,-2.7604902
nhhpr,0.009594494,1.2542862,1.9721415,-5.5037985,7.2102313,-4.4665833,-1.131017,-3.729846,-0.5144724,5.379691
njkpj,2.6874917,-9.299168,-4.252446,6.3954415,1.5894816,1.6229655,-6.5937343,-4.2533493,-0.0073471363,-1.735973
nuaiw,-0.09781973,-4.1264977,-3.2219374,-0.864546,3.2449284,1.4359984,1.5434082,2.414922,2.2918983,-0.16386025
nz9w1,3.9384935,-2.5523143,3.271315,5.1289215,-1.6362389,-1.4792131,-1.7319373,2.2963011,-1.446373,5.177941
o1zc3,6.7342362,-3.488688,0.2811301,-1.5571222,-3.2129493,-1.3258737,0.90946275,-0.1421913,2.274867,1.5879413
o33bd,-17.392433,-1.183707,-0.43181244,0.6094535,-1.3904533,-1.94428,-0.48132166,3.580321,0.017699335,-4.633834
o3a2p,-1.2061459,-2.2969048,3.8980784,-0.1441821,-1.9067727,1.7327931,-0.13193475,-0.84222734,0.21980654,-4.446924
o3lxf,-7.067947,-4.427303,3.465485,3.080725,3.711633,-0.5422092,-2.3871658,-1.136978,-1.6425049,0.4484765
o9a24,4.625818,-0.7108812,1.199437,-0.080919825,-4.257583,-1.2322971,-1.5979238,-1.5061896,0.4748486,-1.3559138
o9fsx,-2.7765973,8.037153,2.6399996,2.7178228,0.7647477,1.376991,-0.07125259,-1.0055177,1.9740826,2.4041035
oct5j,3.6594882,-4.6296124,1.3103571,-2.2747734,-4.778128,-0.07988273,-0.36518946,-1.4949391,0.66049904,-0.39296988
ofe7w,1.4665504,2.350291,-5.131031,2.4140103,1.5142938,-0.18804406,-0.60907775,-1.5522168,0.39585832,-0.6028901
oscdf,1.0385821,-1.1658512,1.0303767,-2.767903,2.6005855,-0.9149685,-2.5572562,2.697306,-0.9961529,2.4865563
oyp87,1.2262504,8.97212,1.7420554,-7.420042,-2.9672105,7.1543045,-3.7660484,-0.9648044,-2.7306151,-0.8071931
pqdwo,-0.5320976,-0.7243099,3.5146658,0.96729827,-0.7854177,-4.2075567,1.4198449,-2.1594644,-0.4742302,4.3938885
pw1a2,3.9846015,-6.4422393,-4.883477,-2.6854465,-2.8035796,2.412858,-1.0950935,-3.2892375,0.3754773,-0.112515315
pzttc,-7.233615,9.6138,1.4329435,-3.6609347,0.4613087,0.4584202,0.22881836,-1.7109039,-1.0261586,-1.900136
q2hse,-4.000045,-2.1050901,-4.635091,0.2465443,-1.3731856,-1.347824,2.9410348,-3.0146205,0.6228955,2.399156
q31p6,2.4378116,-3.5554142,-2.560403,3.0724618,1.7819387,-2.869788,0.16779017,2.9844615,1.4753937,1.5546579
qe5iw,2.228296,4.0475883,-2.7837765,0.73840696,3.1253355,-1.1337364,3.4009182,-2.2777014,4.079792,0.075356066
qn6ki,0.12451091,1.5012978,-5.3661857,-3.0279822,1.4540787,-1.1957194,4.2838354,1.786685,2.3297675,2.2546613
qu2by,2.7928104,2.3701296,-3.1660323,-1.0289217,5.402315,-1.608242,2.434306,-0.3994782,3.4257464,1.1951392
qw4hl,-0.19574927,-2.7062416,-0.8303749,-1.3158462,4.53924,-2.2522736,-0.5696161,-1.866566,3.9896426,3.6688852
r11kw,-6.5496244,7.258415,8.867719,-2.1458595,4.451321,1.4231352,-0.34193355,4.987837,-1.9242133,-1.8627847
r82fi,-2.872384,-2.945724,4.403622,6.790753,0.41780478,-0.954395,-4.477008,-1.2818192,-3.8622499,2.0377195
rf2g7,-10.716935,3.5359285,4.390015,-2.2595694,-1.3238397,-1.9295416,-2.2785444,-2.3130853,0.44642067,-0.23800251
ridfr,4.623417,5.921748,-1.05179,-3.9528153,2.0697837,4.1844397,-4.0294833,3.687388,-1.3189523,-1.2483261
rkkav,-0.52268744,-1.2706956,-1.3121917,-3.5610216,3.6904984,-1.3171315,-3.774395,-3.2407074,2.3419685,-0.29972678
rlkzv,0.10994354,-1.0638947,-1.1014261,3.5674274,1.0472256,-2.0827982,-2.0416896,-0.605136,1.449191,0.75068545
rzj8b,-0.42290196,-6.389672,6.104123,-3.373552,-1.0923153,-1.1652645,1.5177993,1.6962667,1.1591604,0.3333688
s6avc,-0.45444673,1.1882256,2.8221278,1.9390687,-0.95767057,-1.3262064,-1.9396689,2.004727,-3.6118495,-2.4573436
sa9ho,4.759376,-1.9098877,-3.9407725,-2.4630778,-1.8975233,2.2305617,0.6502841,-2.8248236,-5.8679414,-3.7315476
sh3z4,-5.596259,-1.5907304,-0.19956532,2.881121,2.743736,0.43669748,-3.556426,-3.0151,0.3830354,-0.008906875
slp0x,4.8611245,0.008743795,5.074833,7.1606064,-4.212516,0.35020122,3.159887,-0.3891781,-0.04416582,1.4809959
ssiwx,10.225069,-1.9481997,-1.5674125,-0.4356705,3.470702,0.21699703,2.0216017,1.6659973,0.01806311,0.21777658
stahe,5.5360417,7.987105,-3.4357982,4.1802707,2.39477,-2.7848983,1.7237464,-0.62334603,-1.4519842,-5.3697824
sv357,-6.8839474,4.3708835,6.7408447,-1.0904307,-2.7979267,0.29234472,4.935523,-4.9947886,7.6997705,-3.8530524
sw55g,0.04483001,9.11002,-3.5475957,-4.943357,-5.6029983,2.1211388,-5.008141,1.7501615,-0.6545829,-1.0595019
t2677,-3.1069345,-6.921814,5.1205893,-7.6778817,-0.83601445,-4.1740136,1.5589734,4.6887164,1.7807572,2.2641103
t3mwb,2.279513,2.7328992,6.194217,-6.5123224,1.424375,0.22726439,-6.972085,-1.8868437,2.6336982,-0.26808286
t3qe4,-1.667696,-5.581079,4.031802,-5.085462,-2.2417898,0.66866326,4.3886266,1.4687061,1.2136209,1.5096079
t4ldc,2.8954697,3.2324815,-0.50879216,1.7813175,-0.29759333,-1.8636853,4.066023,1.239088,-2.408475,-2.5652435
t65ti,-11.82538,-9.030231,-7.3729615,5.337656,-8.248472,-5.129036,0.623819,4.9344873,-0.37691665,2.9046574
t67m6,1.0985117,0.1321915,-3.4407694,-1.0286227,-0.8671295,-3.4801848,-2.0822306,0.97283894,-0.23156884,-2.5401213
t6mgm,1.4678615,4.92324,8.626678,4.3027334,-0.7265542,2.2288244,1.9660828,2.6456249,-1.9459429,5.79713
t8dkc,-1.2057056,-3.420826,-0.7469595,2.3825703,1.9256754,2.935148,-2.4869351,-2.2334676,2.6474392,-1.5764765
tcget,-4.848552,2.3381515,1.3114718,8.647893,-1.3837615,-1.5044361,5.845857,-0.8760855,1.3425591,-1.8221145
tv81i,4.74392,1.1180938,-3.4404774,-3.0279825,0.87409717,-0.982702,0.023015177,4.1742206,0.21054335,0.6439311
twpda,5.3856535,-1.4762506,1.3255318,7.912027,-0.93912274,0.83131456,1.9178845,1.5498585,-1.4207947,-0.47170448
u41kq,9.26492,-4.573238,-2.8066568,0.10265292,-2.8770945,-0.10669677,-1.8256562,0.08724926,-2.2914968,-3.378598
uir5g,6.080428,1.5112325,2.9404442,-0.6556241,0.10273528,-2.1848538,-0.38435173,-0.3292868,2.2063782,-0.11935855
uk2vf,8.266221,-0.23934199,0.21205434,-0.27626583,0.023445943,-1.3810734,0.40214786,1.6989589,-0.70475376,-2.4194355
