person_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49
3biuj,7.789095,-3.8479881,-2.2365155,-1.1879654,2.228849,-0.98329556,-1.4913983,-2.4927304,-3.0856771,1.4101334,1.9181085,4.3782425,-0.43069482,-2.8131895,1.7125332,0.008243576,1.1368129,-0.02774485,2.3734808,2.24952,0.29549038,-1.2555141,1.5489124,-0.19568187,1.0062201,-0.22324593,-1.227267,-0.40225765,0.47596484,1.8096166,-0.16932914,0.22584848,1.9095056,1.9728962,1.2948041,0.19107723,0.83666176,-0.032712977,2.225261,0.06430003,-1.1487339,0.29611057,0.35326755,0.057755686,-0.29043564,0.33878672,-0.34044775,-0.79661536,0.26386142,-0.35836866
3d56s,9.91841,0.1611651,1.0393113,1.9257646,3.0103092,-3.2034872,-1.6632997,-1.6000743,-0.5619361,2.6803524,-1.2388977,-0.90200496,-3.6382203,-0.69007236,-0.34647295,-1.0073429,1.7046831,-0.25470915,2.9261765,2.3978958,-2.0173335,1.0672532,-0.23559596,2.1140275,-0.9603621,4.300025,-1.1782566,-0.854307,-2.342378,-0.9024845,0.1877086,-0.71557856,0.5607745,-0.70991886,0.103523426,-1.0895811,-0.87081623,-1.6201837,-0.14811665,-0.9949051,-0.70976496,-0.19485085,1.0744877,-0.16277665,1.4608656,0.27057514,0.0663068,-0.41640988,-0.685518,0.9508719
3uy58,0.62716895,-2.608316,3.7434201,-3.4869995,-5.4073315,-1.268829,-1.241026,-1.2011675,1.5981637,-3.3233905,-1.0702852,1.6319822,2.888487,1.0280911,1.6874727,3.7248206,-0.3330136,1.9423869,0.006992241,-0.19922373,0.4451437,0.21084325,-1.9255888,0.56540126,0.7546703,-0.5735642,1.0003934,1.2861934,-3.8361323,-1.368943,-0.12685063,-1.1537348,0.84352744,0.041611537,-0.97735256,3.0625362,1.3681237,1.8616503,-1.232906,0.639033,1.9963622,-2.7404177,1.163687,-0.96743894,-0.119602546,-1.6588852,1.4875913,1.6675173,-1.3618544,-1.0535209
3wglb,-2.1292508,-1.3396844,10.328988,-6.219984,0.87229115,-3.79173,-0.01609949,5.363258,2.3272214,-1.2000933,-0.79281545,-0.5253944,-1.2163346,1.0068957,0.8886006,0.52056605,-0.89196056,-2.4474785,-1.3550403,1.1529778,0.21352136,0.3850134,1.6698315,0.025152188,2.3071408,-1.918766,-0.2764255,1.3868454,-2.288958,-0.9964506,1.0793575,0.2604363,-0.03903061,-1.1376555,-1.2926506,-1.5281806,0.9764361,-0.8459288,0.3367985,-0.8705459,2.5490108,-0.9735781,1.8144314,-0.21235433,-1.2632096,1.1611722,2.9142485,-3.0507092,0.19020872,-0.3640142
4kx6v,1.0096734,-5.500449,-2.3886244,-1.9777625,-9.607281,1.2146186,0.09777589,-2.387497,-4.392943,-2.7575655,-4.0418544,-4.6308846,-1.6124732,2.2132387,-0.0828562,2.235276,-1.4037791,-1.1798067,2.7028096,-0.00042171363,0.2514895,1.598781,1.2342533,-1.2274715,0.12002951,1.5846046,-0.26574937,-2.024564,-1.5857879,-0.036200937,2.6164439,0.10357797,0.30745858,0.11912952,-0.8878633,2.6460626,-1.2793208,0.24258912,-1.0605692,0.20853002,-0.53795266,-1.3337979,1.5755012,1.7053514,-2.6999984,0.98534775,-1.4266372,2.3950005,1.1943903,0.7838221
4p3l9,4.1999483,-5.2499585,-2.068556,-2.0341594,4.373115,2.9277537,1.3615152,1.0276831,-1.5276935,-0.57927525,-0.26023343,1.3512704,-0.77896726,-0.17215393,-0.29287177,0.79836154,-2.8174376,-2.0447648,-2.1468544,0.10609837,1.3217088,-0.25466755,0.5835334,-0.9452859,3.4754558,1.3335954,-2.0783246,1.0591494,0.5949983,1.2374828,1.7519876,-1.3312289,-2.2937064,1.2235242,2.602004,0.32361695,-1.8081595,-1.2531345,0.9476714,2.4232135,1.6339027,0.3724764,-0.7780584,0.76202154,-0.51736516,-1.1126988,-1.4562852,-0.081457175,1.1673195,-2.1832604
4th4n,3.6437056,8.374087,4.535893,4.6316385,-0.019457048,-0.7254712,4.6711416,1.9019617,2.8058813,1.2559693,1.8903037,0.54941845,-1.7414905,0.030138882,1.9825454,-1.9139189,-0.567072,-0.9934742,0.24441096,-1.3287555,1.0367138,-0.37321612,-0.04245099,-0.9020468,0.66630524,1.0636264,1.011226,2.1397388,-0.97330964,-1.2922136,1.1118071,3.5924814,1.8366128,-1.4339429,-0.80210847,-2.1331375,-1.0818418,1.5059552,-0.4680656,-0.14651528,-1.2128028,1.7479334,2.7265444,-1.0952127,-1.6464584,0.8479813,-0.23097992,-1.1858474,0.8392019,1.0316089
4wbsc,4.5492916,-1.1158864,-1.9577848,-4.9366484,-2.6808403,-0.7643457,2.0888147,4.0013328,4.122115,-0.74083704,-0.025074432,-1.0993264,-1.358832,-0.09865764,1.4156295,-0.013606464,1.0610656,1.7670141,2.0234008,-2.0990922,-0.8250033,2.7937872,0.5276711,0.6069845,-0.023757482,0.38868353,0.18346936,0.38718396,2.1972117,-0.7322928,0.04140792,0.9281359,0.3561553,1.0886556,-1.4199449,-0.78631353,1.2284247,-3.3324335,0.45076308,-0.002361267,-0.560834,0.8237995,-0.4618194,-0.88148475,-0.11386349,-0.45728502,-0.71705884,0.372621,-1.1951182,-1.3505555
4wcis,1.2261696,-0.98154235,-4.370246,2.2692416,2.5246022,-1.9916058,-4.113643,-1.3571566,0.105687305,2.1172223,-1.4677868,-3.2598286,-0.3873792,1.704031,3.174274,-0.7121355,-0.47546092,0.18820497,2.5297647,1.1977389,-0.33970866,-0.84537685,2.1571405,2.4059868,0.8119807,0.77501005,-0.16191316,-0.22251411,1.0430425,-1.1158301,0.36102757,-0.30289787,-1.4017642,1.287319,0.5546567,0.82633483,-0.089640215,0.87017375,-1.321655,-0.5043509,2.517686,-0.89097846,-0.7134646,-0.58976847,-0.62886614,1.2027404,-0.10474116,-1.2615805,-0.56923145,1.5553584
56vwl,0.8282715,5.5353274,-0.14053155,1.139062,0.83863896,0.06356043,-0.5975374,0.29049337,2.962352,-1.0001465,-1.6412499,1.8399287,4.208595,-0.115903184,2.9833653,-3.0195117,-0.9361172,3.8480065,0.4401016,2.6885858,2.3091888,-0.67531985,0.04303025,-1.6544801,2.4493983,3.6343155,1.1842823,-4.2920427,-2.6102982,-1.4108611,0.09190339,-0.9684347,-0.43505958,0.8822008,0.44550234,-0.90416574,-1.7749122,-1.2881882,1.8290899,-0.58641464,-1.4269885,1.5403608,-0.34514442,-0.2968224,1.6801535,1.4807506,0.31393284,-0.8519167,-0.4773672,1.2461382
